,id,text,created_at,author_id,in_reply_to_user_id,lang,author,entities,referenced_tweets,media,geo,vader_sentiment_score,vader_sentiment_phrase,Twitter
106,1540345335033126912,"The SCOTUS decision affirming there's no constitutional right to indiscriminately sacrifice the lives of children in their mothers’ wombs is the culmination of decades of work to correct the tragic, deadly lie that unborn babies are expendable and undeserving of protection.",2022-06-24 14:45:20+00:00,5558312,,en,"{""location"":""Arkansas"",""username"":""JohnBoozman"",""id"":""5558312"",""url"":""https://t.co/pghdotWL5q"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/pghdotWL5q"",""expanded_url"":""http://boozman.senate.gov"",""display_url"":""boozman.senate.gov""}]},""description"":{""hashtags"":[{""start"":119,""end"":129,""tag"":""ServingAR""},{""start"":130,""end"":137,""tag"":""ARinDC""}],""mentions"":[{""start"":37,""end"":49,""username"":""SenateAgGOP""}]}},""protected"":false,""description"":""U.S. Senator for Arkansas serving as @SenateAgGOP leader and on the Appropriations, EPW & Veterans’ Affairs committees #ServingAR #ARinDC 202-224-4843"",""profile_image_url"":""https://pbs.twimg.com/profile_images/970776346250104834/i7B-Xp9G_normal.jpg"",""created_at"":""2007-04-27T16:05:52.000Z"",""public_metrics"":{""followers_count"":105730,""following_count"":864,""tweet_count"":9089,""listed_count"":2586},""name"":""Senator John Boozman"",""verified"":true}","{""annotations"":[{""start"":4,""end"":9,""probability"":0.9206,""type"":""Organization"",""normalized_text"":""SCOTUS""}]}",,,,-0.7964,negative,senateaggop
107,1540345011941900289,"And make no mistake—this is not the end goal, it’s just the beginning. Republicans in Congress want to pass federal legislation to completely ban abortion. Our daughters and granddaughters should not grow up with fewer rights than their mothers.",2022-06-24 14:44:03+00:00,171598736,171598736,en,"{""location"":""Scranton, PA"",""username"":""SenBobCasey"",""id"":""171598736"",""url"":""https://t.co/SIksRZvAsX"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/SIksRZvAsX"",""expanded_url"":""https://www.casey.senate.gov/"",""display_url"":""casey.senate.gov""}]},""description"":{""mentions"":[{""start"":99,""end"":111,""username"":""SenateAging""}]}},""protected"":false,""description"":""Official twitter profile for U.S. Senator Bob Casey. Husband, dad, grandpa, history buff, Chairman @SenateAging. Fighting for PA’s children and families."",""pinned_tweet_id"":""1546907524745646084"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1529197566994354177/07uTJTaV_normal.jpg"",""created_at"":""2010-07-27T18:38:20.000Z"",""public_metrics"":{""followers_count"":441380,""following_count"":907,""tweet_count"":14932,""listed_count"":3219},""name"":""Senator Bob Casey"",""verified"":true}","{""annotations"":[{""start"":71,""end"":81,""probability"":0.5714,""type"":""Organization"",""normalized_text"":""Republicans""},{""start"":86,""end"":93,""probability"":0.5658,""type"":""Organization"",""normalized_text"":""Congress""}]}","[{""type"":""replied_to"",""id"":""1540345010624892931"",""conversation_id"":""1540345010624892931"",""public_metrics"":{""retweet_count"":150,""reply_count"":120,""like_count"":657,""quote_count"":44},""source"":""Twitter Web App"",""author_id"":""171598736"",""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""888540937340702720"",""name"":""Bob Casey"",""description"":""US Senator Bob Casey (PA)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""888540937340702720"",""name"":""Bob Casey"",""description"":""US Senator Bob Casey (PA)""}}],""created_at"":""2022-06-24T14:44:03.000Z"",""lang"":""en"",""text"":""Today’s decision upends almost a half century of legal precedent and rips away a constitutional right that generations of women have known their entire lives. This dangerous ruling won’t end abortions in this country, but it will put women’s lives at risk."",""reply_settings"":""everyone"",""possibly_sensitive"":false}]",,,-0.6997,negative,senateaging
108,1540345010624892931,"Today’s decision upends almost a half century of legal precedent and rips away a constitutional right that generations of women have known their entire lives. This dangerous ruling won’t end abortions in this country, but it will put women’s lives at risk.",2022-06-24 14:44:03+00:00,171598736,,en,"{""location"":""Scranton, PA"",""username"":""SenBobCasey"",""id"":""171598736"",""url"":""https://t.co/SIksRZvAsX"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/SIksRZvAsX"",""expanded_url"":""https://www.casey.senate.gov/"",""display_url"":""casey.senate.gov""}]},""description"":{""mentions"":[{""start"":99,""end"":111,""username"":""SenateAging""}]}},""protected"":false,""description"":""Official twitter profile for U.S. Senator Bob Casey. Husband, dad, grandpa, history buff, Chairman @SenateAging. Fighting for PA’s children and families."",""pinned_tweet_id"":""1546907524745646084"",""profile_image_url"":""https://pbs.twimg.com/profile_images/1529197566994354177/07uTJTaV_normal.jpg"",""created_at"":""2010-07-27T18:38:20.000Z"",""public_metrics"":{""followers_count"":441380,""following_count"":907,""tweet_count"":14932,""listed_count"":3219},""name"":""Senator Bob Casey"",""verified"":true}",,,,,-0.5737,negative,senateaging
139,1547981936479518720,"Once again, Senate Republicans have chosen to deny women access to reproductive health care, this time blocking a bill to ensure women can safely travel to access care.

This shouldn't be controversial. We must protect the constitutional right to freely travel across state lines. https://t.co/rFkUdcl9Kz",2022-07-15 16:30:28+00:00,249787913,,en,"{""profile_image_url"":""https://pbs.twimg.com/profile_images/378800000497501114/77d2bd85a246e66e8f77670018fbaaca_normal.jpeg"",""url"":""https://t.co/0KSoFFqCgL"",""verified"":true,""id"":""249787913"",""username"":""SenatorCarper"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/0KSoFFqCgL"",""expanded_url"":""http://www.carper.senate.gov"",""display_url"":""carper.senate.gov""}]},""description"":{""mentions"":[{""start"":23,""end"":30,""username"":""USNavy""},{""start"":99,""end"":107,""username"":""EPWCmte""}]}},""location"":""Delaware"",""description"":""Husband, father, proud @USNavy veteran and former governor. U.S. Senator for Delaware and Chairman @EPWCmte"",""created_at"":""2011-02-09T19:46:42.000Z"",""name"":""Senator Tom Carper"",""public_metrics"":{""followers_count"":114298,""following_count"":1921,""tweet_count"":11885,""listed_count"":2116},""protected"":false}","{""annotations"":[{""start"":12,""end"":29,""probability"":0.6088,""type"":""Organization"",""normalized_text"":""Senate Republicans""}],""urls"":[{""start"":281,""end"":304,""url"":""https://t.co/rFkUdcl9Kz"",""expanded_url"":""https://twitter.com/SenCortezMasto/status/1547614222535733252"",""display_url"":""twitter.com/SenCortezMasto…""}]}","[{""type"":""quoted"",""id"":""1547614222535733252"",""lang"":""en"",""source"":""Twitter Web App"",""text"":""Senate Republicans just blocked my bill to protect women who travel for reproductive care and those who help them. They want to allow state legislators to reach across state lines to punish and control women. It’s absolutely outrageous. I won't stop fighting for women's freedom."",""reply_settings"":""everyone"",""possibly_sensitive"":false,""author_id"":""811313565760163844"",""public_metrics"":{""retweet_count"":7155,""reply_count"":1093,""like_count"":22839,""quote_count"":473},""entities"":{""annotations"":[{""start"":0,""end"":17,""probability"":0.4468,""type"":""Organization"",""normalized_text"":""Senate Republicans""}]},""context_annotations"":[{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""961705302700654593"",""name"":""United States Congress"",""description"":""United States Congress""}},{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""890265874191470592"",""name"":""Catherine Cortez Masto"",""description"":""US Senator Catherine Cortez Masto (NV)""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""890265874191470592"",""name"":""Catherine Cortez Masto"",""description"":""US Senator Catherine Cortez Masto (NV)""}},{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""877326946253684737"",""name"":""United States Senate"",""description"":""United States Senate""}},{""domain"":{""id"":""88"",""name"":""Political Body"",""description"":""A section of a government, like The Supreme Court""},""entity"":{""id"":""961705302700654593"",""name"":""United States Congress"",""description"":""United States Congress""}}],""conversation_id"":""1547614222535733252"",""created_at"":""2022-07-14T16:09:18.000Z""}]",,,0.923,positive,epwcmte
157,1547235508547461121,"Overturning #RoevWade has made life for women across the country less safe. Denying essential care puts lives in jeopardy.

We must do everything we can to ensure women can continue to access the health care they need.",2022-07-13 15:04:26+00:00,249787913,,en,"{""profile_image_url"":""https://pbs.twimg.com/profile_images/378800000497501114/77d2bd85a246e66e8f77670018fbaaca_normal.jpeg"",""url"":""https://t.co/0KSoFFqCgL"",""verified"":true,""id"":""249787913"",""username"":""SenatorCarper"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/0KSoFFqCgL"",""expanded_url"":""http://www.carper.senate.gov"",""display_url"":""carper.senate.gov""}]},""description"":{""mentions"":[{""start"":23,""end"":30,""username"":""USNavy""},{""start"":99,""end"":107,""username"":""EPWCmte""}]}},""location"":""Delaware"",""description"":""Husband, father, proud @USNavy veteran and former governor. U.S. Senator for Delaware and Chairman @EPWCmte"",""created_at"":""2011-02-09T19:46:42.000Z"",""name"":""Senator Tom Carper"",""public_metrics"":{""followers_count"":114298,""following_count"":1921,""tweet_count"":11885,""listed_count"":2116},""protected"":false}","{""hashtags"":[{""start"":12,""end"":21,""tag"":""RoevWade""}]}",,,,0.7495,positive,epwcmte
164,1546891603385745410,"For the first time in my lifetime, SCOTUS has taken away a right by overturning #RoeVWade. Now millions of American women &amp; their doctors fear a knock at the door from police for accessing reproductive care.

States across the country have criminalized care. Congress must act.",2022-07-12 16:17:52+00:00,249787913,,en,"{""profile_image_url"":""https://pbs.twimg.com/profile_images/378800000497501114/77d2bd85a246e66e8f77670018fbaaca_normal.jpeg"",""url"":""https://t.co/0KSoFFqCgL"",""verified"":true,""id"":""249787913"",""username"":""SenatorCarper"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/0KSoFFqCgL"",""expanded_url"":""http://www.carper.senate.gov"",""display_url"":""carper.senate.gov""}]},""description"":{""mentions"":[{""start"":23,""end"":30,""username"":""USNavy""},{""start"":99,""end"":107,""username"":""EPWCmte""}]}},""location"":""Delaware"",""description"":""Husband, father, proud @USNavy veteran and former governor. U.S. Senator for Delaware and Chairman @EPWCmte"",""created_at"":""2011-02-09T19:46:42.000Z"",""name"":""Senator Tom Carper"",""public_metrics"":{""followers_count"":114298,""following_count"":1921,""tweet_count"":11885,""listed_count"":2116},""protected"":false}","{""annotations"":[{""start"":35,""end"":40,""probability"":0.9333,""type"":""Organization"",""normalized_text"":""SCOTUS""}],""hashtags"":[{""start"":80,""end"":89,""tag"":""RoeVWade""}]}",,,,0.4939,positive,epwcmte
171,1546200581227704321,"The majority of the American public disagrees with SCOTUS’ infamous decision to overturn Roe v. Wade.

Not just because it rips away a constitutional right from American women, but because women &amp; only women should make these deeply personal decisions about their own health. https://t.co/WaoHv2eXVn",2022-07-10 18:32:00+00:00,249787913,,en,"{""profile_image_url"":""https://pbs.twimg.com/profile_images/378800000497501114/77d2bd85a246e66e8f77670018fbaaca_normal.jpeg"",""url"":""https://t.co/0KSoFFqCgL"",""verified"":true,""id"":""249787913"",""username"":""SenatorCarper"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/0KSoFFqCgL"",""expanded_url"":""http://www.carper.senate.gov"",""display_url"":""carper.senate.gov""}]},""description"":{""mentions"":[{""start"":23,""end"":30,""username"":""USNavy""},{""start"":99,""end"":107,""username"":""EPWCmte""}]}},""location"":""Delaware"",""description"":""Husband, father, proud @USNavy veteran and former governor. U.S. Senator for Delaware and Chairman @EPWCmte"",""created_at"":""2011-02-09T19:46:42.000Z"",""name"":""Senator Tom Carper"",""public_metrics"":{""followers_count"":114298,""following_count"":1921,""tweet_count"":11885,""listed_count"":2116},""protected"":false}","{""annotations"":[{""start"":51,""end"":56,""probability"":0.8093,""type"":""Organization"",""normalized_text"":""SCOTUS""},{""start"":89,""end"":91,""probability"":0.7889,""type"":""Person"",""normalized_text"":""Roe""},{""start"":96,""end"":99,""probability"":0.8327,""type"":""Person"",""normalized_text"":""Wade""}],""urls"":[{""start"":280,""end"":303,""url"":""https://t.co/WaoHv2eXVn"",""expanded_url"":""https://twitter.com/pewresearch/status/1544761861417091073"",""display_url"":""twitter.com/pewresearch/st…""}]}","[{""type"":""quoted"",""id"":""1544761861417091073"",""lang"":""en"",""source"":""Buffer"",""attachments"":{""media_keys"":[""3_1544761858686685185""]},""text"":""57% of Americans disapprove of the Supreme Court’s decision to overturn Roe v. Wade, including 43% who strongly disapprove. Meanwhile, 41% approve of the court’s decision (25% who strongly approve). https://t.co/zj1fG2PRnD https://t.co/XV443oQxmd"",""reply_settings"":""everyone"",""possibly_sensitive"":false,""author_id"":""22642788"",""public_metrics"":{""retweet_count"":26,""reply_count"":7,""like_count"":56,""quote_count"":11},""entities"":{""annotations"":[{""start"":35,""end"":47,""probability"":0.5474,""type"":""Organization"",""normalized_text"":""Supreme Court""},{""start"":72,""end"":74,""probability"":0.6002,""type"":""Person"",""normalized_text"":""Roe""},{""start"":79,""end"":82,""probability"":0.8248,""type"":""Person"",""normalized_text"":""Wade""}],""urls"":[{""start"":199,""end"":222,""url"":""https://t.co/zj1fG2PRnD"",""expanded_url"":""https://pewrsr.ch/3AsfVzV"",""display_url"":""pewrsr.ch/3AsfVzV"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1549887098936627200/5PdWtgpY?format=jpg&name=orig"",""width"":1200,""height"":628},{""url"":""https://pbs.twimg.com/news_img/1549887098936627200/5PdWtgpY?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""Majority of Public Disapproves of Supreme Court’s Decision To Overturn Roe v. Wade"",""description"":""Opinion on the legality of abortion has changed little since before the court's decision, with 62% now saying abortion should be legal in all or most cases."",""unwound_url"":""https://www.pewresearch.org/politics/2022/07/06/majority-of-public-disapproves-of-supreme-courts-decision-to-overturn-roe-v-wade/?utm_content=buffer2a47f&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer""},{""start"":223,""end"":246,""url"":""https://t.co/XV443oQxmd"",""expanded_url"":""https://twitter.com/pewresearch/status/1544761861417091073/photo/1"",""display_url"":""pic.twitter.com/XV443oQxmd"",""media_key"":""3_1544761858686685185""}]},""conversation_id"":""1544761861417091073"",""created_at"":""2022-07-06T19:15:02.000Z""}]",,,-0.1655,negative,epwcmte
178,1545501000978649089,"In the wake of a disastrous SCOTUS decision, we need an all-of-government approach to protect women’s access to reproductive health care.

@POTUS’s action will help women get the care they need. But we in Congress need to do more—far more—to protect this constitutional right. https://t.co/SYc4VyVFL1",2022-07-08 20:12:07+00:00,249787913,,en,"{""profile_image_url"":""https://pbs.twimg.com/profile_images/378800000497501114/77d2bd85a246e66e8f77670018fbaaca_normal.jpeg"",""url"":""https://t.co/0KSoFFqCgL"",""verified"":true,""id"":""249787913"",""username"":""SenatorCarper"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/0KSoFFqCgL"",""expanded_url"":""http://www.carper.senate.gov"",""display_url"":""carper.senate.gov""}]},""description"":{""mentions"":[{""start"":23,""end"":30,""username"":""USNavy""},{""start"":99,""end"":107,""username"":""EPWCmte""}]}},""location"":""Delaware"",""description"":""Husband, father, proud @USNavy veteran and former governor. U.S. Senator for Delaware and Chairman @EPWCmte"",""created_at"":""2011-02-09T19:46:42.000Z"",""name"":""Senator Tom Carper"",""public_metrics"":{""followers_count"":114298,""following_count"":1921,""tweet_count"":11885,""listed_count"":2116},""protected"":false}","{""mentions"":[{""start"":139,""end"":145,""username"":""POTUS"",""id"":""1349149096909668363""}],""annotations"":[{""start"":28,""end"":33,""probability"":0.9264,""type"":""Organization"",""normalized_text"":""SCOTUS""}],""urls"":[{""start"":277,""end"":300,""url"":""https://t.co/SYc4VyVFL1"",""expanded_url"":""https://twitter.com/POTUS/status/1545447455558406145"",""display_url"":""twitter.com/POTUS/status/1…""}]}","[{""type"":""quoted"",""id"":""1545447455558406145"",""lang"":""en"",""source"":""The White House"",""attachments"":{""media_keys"":[""3_1545447450407800833""]},""text"":""Today I signed an Executive Order to protect the reproductive rights of women in the aftermath of the Supreme Court's extreme decision to overturn Roe v. Wade.\n\nIt formalizes the actions I announced right after the decision and will add new measures to protect women's health. https://t.co/cujWTnxKvw"",""reply_settings"":""everyone"",""possibly_sensitive"":false,""author_id"":""1349149096909668363"",""public_metrics"":{""retweet_count"":30423,""reply_count"":9197,""like_count"":184161,""quote_count"":5559},""entities"":{""annotations"":[{""start"":102,""end"":114,""probability"":0.7168,""type"":""Organization"",""normalized_text"":""Supreme Court""},{""start"":147,""end"":149,""probability"":0.5209,""type"":""Person"",""normalized_text"":""Roe""},{""start"":154,""end"":157,""probability"":0.5031,""type"":""Person"",""normalized_text"":""Wade""}],""urls"":[{""start"":277,""end"":300,""url"":""https://t.co/cujWTnxKvw"",""expanded_url"":""https://twitter.com/POTUS/status/1545447455558406145/photo/1"",""display_url"":""pic.twitter.com/cujWTnxKvw"",""media_key"":""3_1545447450407800833""}]},""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""10040395078"",""name"":""Joe Biden"",""description"":""US President Joe Biden""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""10040395078"",""name"":""Joe Biden"",""description"":""US President Joe Biden""}}],""conversation_id"":""1545447455558406145"",""created_at"":""2022-07-08T16:39:21.000Z""}]",,,0.7783,positive,epwcmte
196,1542498533084889088,"RT @POTUS: Yesterday, Delaware leaders took action to safeguard abortion access and enhance protections for health care providers and patie…",2022-06-30 13:21:23+00:00,249787913,,en,"{""profile_image_url"":""https://pbs.twimg.com/profile_images/378800000497501114/77d2bd85a246e66e8f77670018fbaaca_normal.jpeg"",""url"":""https://t.co/0KSoFFqCgL"",""verified"":true,""id"":""249787913"",""username"":""SenatorCarper"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/0KSoFFqCgL"",""expanded_url"":""http://www.carper.senate.gov"",""display_url"":""carper.senate.gov""}]},""description"":{""mentions"":[{""start"":23,""end"":30,""username"":""USNavy""},{""start"":99,""end"":107,""username"":""EPWCmte""}]}},""location"":""Delaware"",""description"":""Husband, father, proud @USNavy veteran and former governor. U.S. Senator for Delaware and Chairman @EPWCmte"",""created_at"":""2011-02-09T19:46:42.000Z"",""name"":""Senator Tom Carper"",""public_metrics"":{""followers_count"":114298,""following_count"":1921,""tweet_count"":11885,""listed_count"":2116},""protected"":false}","{""mentions"":[{""start"":3,""end"":9,""username"":""POTUS"",""id"":""1349149096909668363""}],""annotations"":[{""start"":22,""end"":29,""probability"":0.7799,""type"":""Place"",""normalized_text"":""Delaware""}]}","[{""type"":""retweeted"",""id"":""1542487508176588807"",""lang"":""en"",""source"":""The White House"",""text"":""Yesterday, Delaware leaders took action to safeguard abortion access and enhance protections for health care providers and patients seeking care in the First State.\n\nI thank Governor Carney for this swift and necessary step to get women the care they need."",""reply_settings"":""everyone"",""possibly_sensitive"":false,""author_id"":""1349149096909668363"",""public_metrics"":{""retweet_count"":4012,""reply_count"":3152,""like_count"":29648,""quote_count"":244},""entities"":{""annotations"":[{""start"":11,""end"":18,""probability"":0.6661,""type"":""Place"",""normalized_text"":""Delaware""},{""start"":174,""end"":188,""probability"":0.4269,""type"":""Person"",""normalized_text"":""Governor Carney""}]},""context_annotations"":[{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""1055190852157370368"",""name"":""John Carney"",""description"":""US governor of Delaware, John Carney\n""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""1055190852157370368"",""name"":""John Carney"",""description"":""US governor of Delaware, John Carney\n""}},{""domain"":{""id"":""159"",""name"":""States"",""description"":""States, provinces, or prefectures, like California or Fukushima Prefecture""},""entity"":{""id"":""1004435667005333504"",""name"":""Delaware"",""description"":""Delaware""}},{""domain"":{""id"":""10"",""name"":""Person"",""description"":""Named people in the world like Nelson Mandela""},""entity"":{""id"":""10040395078"",""name"":""Joe Biden"",""description"":""US President Joe Biden""}},{""domain"":{""id"":""35"",""name"":""Politician"",""description"":""Politicians in the world, like Joe Biden""},""entity"":{""id"":""10040395078"",""name"":""Joe Biden"",""description"":""US President Joe Biden""}}],""conversation_id"":""1542487508176588807"",""created_at"":""2022-06-30T12:37:34.000Z""}]",,,0.7003,positive,epwcmte
210,1541526254926630912,".@POTUS was right when he said SCOTUS’ decision to overturn Roe “must not be the final word.”

That’s why I joined 32 of my colleagues urging the Administration to do everything in their power to help women access reproductive health care. https://t.co/B7vwHhIwVX",2022-06-27 20:57:54+00:00,249787913,,en,"{""profile_image_url"":""https://pbs.twimg.com/profile_images/378800000497501114/77d2bd85a246e66e8f77670018fbaaca_normal.jpeg"",""url"":""https://t.co/0KSoFFqCgL"",""verified"":true,""id"":""249787913"",""username"":""SenatorCarper"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/0KSoFFqCgL"",""expanded_url"":""http://www.carper.senate.gov"",""display_url"":""carper.senate.gov""}]},""description"":{""mentions"":[{""start"":23,""end"":30,""username"":""USNavy""},{""start"":99,""end"":107,""username"":""EPWCmte""}]}},""location"":""Delaware"",""description"":""Husband, father, proud @USNavy veteran and former governor. U.S. Senator for Delaware and Chairman @EPWCmte"",""created_at"":""2011-02-09T19:46:42.000Z"",""name"":""Senator Tom Carper"",""public_metrics"":{""followers_count"":114298,""following_count"":1921,""tweet_count"":11885,""listed_count"":2116},""protected"":false}","{""mentions"":[{""start"":1,""end"":7,""username"":""POTUS"",""id"":""1349149096909668363""}],""annotations"":[{""start"":31,""end"":36,""probability"":0.723,""type"":""Organization"",""normalized_text"":""SCOTUS""},{""start"":60,""end"":62,""probability"":0.7868,""type"":""Person"",""normalized_text"":""Roe""}],""urls"":[{""start"":240,""end"":263,""url"":""https://t.co/B7vwHhIwVX"",""expanded_url"":""https://thehill.com/homenews/senate/3537226-more-than-30-senate-democrats-call-for-biden-to-take-action-to-protect-abortion-access/"",""display_url"":""thehill.com/homenews/senat…"",""images"":[{""url"":""https://pbs.twimg.com/news_img/1548709063663357955/02uw_TXJ?format=jpg&name=orig"",""width"":640,""height"":349},{""url"":""https://pbs.twimg.com/news_img/1548709063663357955/02uw_TXJ?format=jpg&name=150x150"",""width"":150,""height"":150}],""status"":200,""title"":""More than 30 Senate Democrats call for Biden to take action to protect abortion access"",""description"":""A group of Democratic senators wrote a letter on Saturday urging President Biden to take action to protect abortion access across the country in response to the Supreme Court’s decision to ov…"",""unwound_url"":""https://thehill.com/homenews/senate/3537226-more-than-30-senate-democrats-call-for-biden-to-take-action-to-protect-abortion-access/""}]}",,,,0.7096,positive,epwcmte
142,1540343189781024768,For many today’s decision is about far more than correcting Roe it means that the rights of the unborn are no longer in jeopardy This ruling empowers the ppl thru their elected reps to make commonsense policy decisions It takes policymaking out of the hands of unelected judges,2022-06-24 14:36:49+00:00,10615232,,en,"{""location"":""Iowa"",""created_at"":""2007-11-26T15:17:02.000Z"",""protected"":false,""url"":""https://t.co/CM45Tl33ts"",""verified"":true,""id"":""10615232"",""username"":""ChuckGrassley"",""description"":""U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information."",""name"":""ChuckGrassley"",""public_metrics"":{""followers_count"":733149,""following_count"":12734,""tweet_count"":11430,""listed_count"":6215},""profile_image_url"":""https://pbs.twimg.com/profile_images/921098191507984385/XYteQA6t_normal.jpg"",""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/CM45Tl33ts"",""expanded_url"":""http://grassley.senate.gov"",""display_url"":""grassley.senate.gov""}]},""description"":{""mentions"":[{""start"":80,""end"":94,""username"":""GrassleyPress""}]}}}","{""annotations"":[{""start"":60,""end"":62,""probability"":0.8054,""type"":""Person"",""normalized_text"":""Roe""}]}",,,,-0.6486,negative,grassleypress]}}}
198,1548975714669629443,As u can see the soybeans hv left the “V” phases (vegetative) &amp; hv entered the R phases (reproductive).  Flowering starts at R1 &amp; when it gets to R8 it will be time to harvest #soybeanwatch https://t.co/xaoJGdsmgJ,2022-07-18 10:19:23+00:00,10615232,,en,"{""created_at"":""2007-11-26T15:17:02.000Z"",""id"":""10615232"",""username"":""ChuckGrassley"",""url"":""https://t.co/CM45Tl33ts"",""protected"":false,""entities"":{""url"":{""urls"":[{""start"":0,""end"":23,""url"":""https://t.co/CM45Tl33ts"",""expanded_url"":""http://grassley.senate.gov"",""display_url"":""grassley.senate.gov""}]},""description"":{""mentions"":[{""start"":80,""end"":94,""username"":""GrassleyPress""}]}},""name"":""ChuckGrassley"",""location"":""Iowa"",""profile_image_url"":""https://pbs.twimg.com/profile_images/921098191507984385/XYteQA6t_normal.jpg"",""description"":""U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information."",""verified"":true,""public_metrics"":{""followers_count"":733149,""following_count"":12734,""tweet_count"":11430,""listed_count"":6215}}","{""hashtags"":[{""start"":184,""end"":197,""tag"":""soybeanwatch""}],""urls"":[{""start"":198,""end"":221,""url"":""https://t.co/xaoJGdsmgJ"",""expanded_url"":""https://twitter.com/ChuckGrassley/status/1548975714669629443/photo/1"",""display_url"":""pic.twitter.com/xaoJGdsmgJ"",""media_key"":""3_1548975703563051008""},{""start"":198,""end"":221,""url"":""https://t.co/xaoJGdsmgJ"",""expanded_url"":""https://twitter.com/ChuckGrassley/status/1548975714669629443/photo/1"",""display_url"":""pic.twitter.com/xaoJGdsmgJ"",""media_key"":""3_1548975703563042816""}]}",,"[{""media_key"":""3_1548975703563051008"",""type"":""photo""},{""media_key"":""3_1548975703563042816"",""type"":""photo""}]",,0.0,neutral,grassleypress
